Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
96%,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Slower than average,266800
95%,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Faster than average,109500
94%,35-2011.00,"Cooks, Fast Food",Average,187200
93%,35-2014.00,"Cooks, Restaurant",Average,304200
92%,35-3031.00,Waiters and Waitresses,Slower than average,1466200
86%,35-9021.00,Dishwashers,Average,275700
82%,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",Faster than average,967200
82%,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Slower than average,205700
81%,35-3011.00,Bartenders,Average,222000
78%,35-2015.00,"Cooks, Short Order",Little or no change,43900
76%,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,Average,134400
74%,35-1011.00,Chefs and Head Cooks,Little or no change,10800
67%,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Average,434900
,35-3022.01,Baristas,,
53%,35-2021.00,Food Preparation Workers,Slower than average,357000
52%,39-6011.00,Baggage Porters and Bellhops,Average,19500
52%,35-2019.00,"Cooks, All Other",Faster than average,7500
50%,11-9081.00,Lodging Managers,Slower than average,15600
47%,11-9051.00,Food Service Managers,Slower than average,83700
46%,35-9099.00,"Food Preparation and Serving Related Workers, All Other",Little or no change,25600
45%,39-6012.00,Concierges,Faster than average,8200
41%,35-3041.00,"Food Servers, Nonrestaurant",Average,51800
39%,39-3011.00,Gaming Dealers,Faster than average,55900
35%,53-3031.00,Driver/Sales Workers,Slower than average,90400
30%,37-2012.00,Maids and Housekeeping Cleaners,Slower than average,354400
29%,39-1011.00,Gaming Supervisors,Average,14100
28%,39-3019.00,"Gaming Service Workers, All Other",Average,7600
26%,43-3041.00,Gaming Cage Workers,Decline rapidly,3200
24%,27-3012.00,Public Address System and Other Announcers,Average,4500
21%,41-2012.00,Gaming Change Persons and Booth Cashiers,Decline rapidly,10000
19%,51-3011.00,Bakers,Little or no change,39200
19%,27-2031.00,Dancers,Average,6900
17%,13-1121.00,Meeting and Convention Planners,Faster than average,21400
17%,11-9071.00,Gaming Managers,Average,2000
15%,35-2012.00,"Cooks, Institution and Cafeteria",Average,138100
15%,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Average,12000
15%,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Average,3000
14%,51-6011.00,Laundry and Dry-Cleaning Workers,Slower than average,47600
13%,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Slower than average,38900
12%,39-3012.00,Gaming and Sports Book Writers and Runners,Average,9000
12%,39-1012.00,Slot Key Persons,Slower than average,6200
