Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
88%,37-2021.00,Pest Control Workers,Faster than average,34000
82%,47-4041.00,Hazardous Materials Removal Workers,Faster than average,17800
77%,41-3041.00,Travel Agents,Little or no change,7900
68%,37-2019.00,"Building Cleaning Workers, All Other",Average,4500
64%,37-3013.00,Tree Trimmers and Pruners,Much faster than average,17200
64%,49-9094.00,Locksmiths and Safe Repairers,Average,6100
58%,33-9032.00,Security Guards,Faster than average,373900
58%,39-6022.00,Travel Guides,Little or no change,2400
56%,41-9041.00,Telemarketers,Decline rapidly,85900
53%,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Much faster than average,13200
52%,53-7081.00,Refuse and Recyclable Material Collectors,Faster than average,71100
52%,49-2098.00,Security and Fire Alarm Systems Installers,Much faster than average,27800
49%,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Faster than average,9100
43%,33-9021.00,Private Detectives and Investigators,Much faster than average,19300
40%,37-3011.00,Landscaping and Groundskeeping Workers,Faster than average,362200
40%,13-1071.00,"Employment, Recruitment, and Placement Specialists",Much faster than average,112300
,13-1071.01,Employment Interviewers,,
,13-1071.02,Personnel Recruiters,,
39%,49-9092.00,Commercial Divers,Slower than average,500
37%,33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other",Average,26800
35%,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Slower than average,553000
33%,43-9071.00,"Office Machine Operators, Except Computer",Decline slowly or moderately,26500
30%,43-3011.00,Bill and Account Collectors,Faster than average,156900
30%,23-2091.00,Court Reporters,Faster than average,7100
27%,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",Decline rapidly,2500
26%,51-9198.00,Helpers--Production Workers,Little or no change,84600
26%,37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",Faster than average,56000
26%,37-3019.00,"Grounds Maintenance Workers, All Other",Average,5000
24%,51-9199.00,"Production Workers, All Other",Little or no change,70900
,51-9199.01,Recycling and Reclamation Workers,,
24%,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Slower than average,38900
22%,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Decline rapidly,25600
22%,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Decline rapidly,25100
21%,43-9021.00,Data Entry Keyers,Decline slowly or moderately,59200
19%,53-7064.00,"Packers and Packagers, Hand",Decline slowly or moderately,126100
19%,43-2011.00,"Switchboard Operators, Including Answering Service",Decline rapidly,32100
18%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Little or no change,745800
18%,39-6021.00,Tour Guides and Escorts,Average,20600
17%,47-4099.00,"Construction and Related Workers, All Other",Average,26600
,47-4099.01,Solar Photovoltaic Installers,,
,47-4099.02,Solar Thermal Installers and Technicians,,
,47-4099.03,Weatherization Installers and Technicians,,
16%,51-2099.00,"Assemblers and Fabricators, All Other",Little or no change,75800
16%,51-9111.00,Packaging and Filling Machine Operators and Tenders,Little or no change,58500
16%,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Average,51500
16%,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Slower than average,19900
,43-4041.01,Credit Authorizers,,
,43-4041.02,Credit Checkers,,
15%,43-4051.00,Customer Service Representatives,Faster than average,1108400
,43-4051.03,Patient Representatives,,
15%,51-2092.00,Team Assemblers,Little or no change,250900
15%,13-1121.00,Meeting and Convention Planners,Faster than average,21400
15%,53-7199.00,"Material Moving Workers, All Other",Little or no change,4700
14%,33-9091.00,Crossing Guards,Average,25600
13%,41-3099.00,"Sales Representatives, Services, All Other",Faster than average,228100
,41-3099.01,Energy Brokers,,
13%,43-4071.00,File Clerks,Decline rapidly,51600
13%,31-9094.00,Medical Transcriptionists,Average,23500
12%,41-9011.00,Demonstrators and Product Promoters,Average,36900
12%,17-3025.00,Environmental Engineering Technicians,Much faster than average,10400
12%,17-1012.00,Landscape Architects,Much faster than average,9800
12%,43-2021.00,Telephone Operators,Decline slowly or moderately,3900
12%,19-4051.00,Nuclear Technicians,Average,2800
,19-4051.01,Nuclear Equipment Operation Technicians,,
,19-4051.02,Nuclear Monitoring Technicians,,
12%,49-9096.00,Riggers,Little or no change,2100
11%,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Faster than average,81900
11%,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,46800
10%,47-2061.00,Construction Laborers,Much faster than average,339400
10%,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Decline slowly or moderately,40300
10%,11-3042.00,Training and Development Managers,Average,10100
10%,43-9081.00,Proofreaders and Copy Markers,Decline slowly or moderately,3000
10%,47-5049.00,"Mining Machine Operators, All Other",Little or no change,800
