Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
97%,47-3016.00,Helpers--Roofers,Decline slowly or moderately,3900
96%,47-2171.00,Reinforcing Iron and Rebar Workers,Average,8000
96%,47-2072.00,Pile-Driver Operators,Average,1400
95%,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Faster than average,18900
94%,47-3013.00,Helpers--Electricians,Much faster than average,48000
94%,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Much faster than average,37300
93%,47-4021.00,Elevator Installers and Repairers,Average,9200
93%,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Decline slowly or moderately,4000
92%,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Faster than average,13200
91%,47-2132.00,"Insulation Workers, Mechanical",Faster than average,15500
90%,47-2051.00,Cement Masons and Concrete Finishers,Average,76400
90%,47-3012.00,Helpers--Carpenters,Much faster than average,35300
85%,47-2221.00,Structural Iron and Steel Workers,Average,20200
85%,47-2053.00,Terrazzo Workers and Finishers,Average,2100
81%,47-2082.00,Tapers,Average,9000
81%,47-4091.00,Segmental Pavers,Average,500
80%,47-2081.00,Drywall and Ceiling Tile Installers,Faster than average,37000
80%,47-2161.00,Plasterers and Stucco Masons,Average,11300
76%,47-2181.00,Roofers,Slower than average,30100
72%,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",Faster than average,175500
,47-2152.01,Pipe Fitters and Steamfitters,,
,47-2152.02,Plumbers,,
70%,47-2111.00,Electricians,Average,250900
70%,47-2021.00,Brickmasons and Blockmasons,Average,50000
70%,47-3019.00,"Helpers, Construction Trades, All Other",Average,8900
68%,47-2121.00,Glaziers,Average,23900
67%,47-2151.00,Pipelayers,Faster than average,22800
65%,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Average,16800
64%,47-4031.00,Fence Erectors,Faster than average,8300
64%,49-9011.00,Mechanical Door Repairers,Average,4500
63%,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,Faster than average,242200
,47-1011.03,Solar Energy Installation Managers,,
63%,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Average,118200
