Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
100%,25-2023.00,"Vocational Education Teachers, Middle School",Slower than average,4100
99%,25-2031.00,"Secondary School Teachers, Except Special and Vocational Education",Average,412400
99%,25-2022.00,"Middle School Teachers, Except Special and Vocational Education",Faster than average,251100
99%,25-2042.00,"Special Education Teachers, Middle School",Faster than average,44100
98%,25-2021.00,"Elementary School Teachers, Except Special Education",Faster than average,596500
98%,,Postsecondary Teachers,Faster than average,552900
,25-1011.00,"Business Teachers, Postsecondary",,
,25-1021.00,"Computer Science Teachers, Postsecondary",,
,25-1022.00,"Mathematical Science Teachers, Postsecondary",,
,25-1031.00,"Architecture Teachers, Postsecondary",,
,25-1032.00,"Engineering Teachers, Postsecondary",,
,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",,
,25-1042.00,"Biological Science Teachers, Postsecondary",,
,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",,
,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",,
,25-1052.00,"Chemistry Teachers, Postsecondary",,
,25-1053.00,"Environmental Science Teachers, Postsecondary",,
,25-1054.00,"Physics Teachers, Postsecondary",,
,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",,
,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",,
,25-1063.00,"Economics Teachers, Postsecondary",,
,25-1064.00,"Geography Teachers, Postsecondary",,
,25-1065.00,"Political Science Teachers, Postsecondary",,
,25-1066.00,"Psychology Teachers, Postsecondary",,
,25-1067.00,"Sociology Teachers, Postsecondary",,
,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",,
,25-1071.00,"Health Specialties Teachers, Postsecondary",,
,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",,
,25-1081.00,"Education Teachers, Postsecondary",,
,25-1082.00,"Library Science Teachers, Postsecondary",,
,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",,
