Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
97%,43-3071.00,Tellers,Slower than average,284400
97%,43-4141.00,New Accounts Clerks,Little or no change,24900
94%,13-2053.00,Insurance Underwriters,Decline slowly or moderately,30000
92%,43-4011.00,Brokerage Clerks,Decline slowly or moderately,19200
90%,43-9041.00,Insurance Claims and Policy Processing Clerks,Little or no change,33800
,43-9041.01,Insurance Claims Clerks,,
,43-9041.02,Insurance Policy Processing Clerks,,
90%,13-1032.00,"Insurance Appraisers, Auto Damage",Little or no change,3000
88%,13-2072.00,Loan Officers,Average,68800
85%,43-4131.00,Loan Interviewers and Clerks,Slower than average,60900
80%,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Average,126800
,41-3031.01,"Sales Agents, Securities and Commodities",,
,41-3031.02,"Sales Agents, Financial Services",,
,41-3031.03,Securities and Commodities Traders,,
75%,41-3021.00,Insurance Sales Agents,Average,152600
74%,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Average,95600
,13-1031.01,"Claims Examiners, Property and Casualty Insurance",,
,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",,
69%,15-2011.00,Actuaries,Much faster than average,10000
63%,13-2052.00,Personal Financial Advisors,Much faster than average,85300
62%,13-2041.00,Credit Analysts,Faster than average,24300
47%,13-2051.00,Financial Analysts,Much faster than average,95200
47%,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Slower than average,19900
,43-4041.01,Credit Authorizers,,
,43-4041.02,Credit Checkers,,
46%,13-2061.00,Financial Examiners,Much faster than average,16000
42%,43-4021.00,Correspondence Clerks,Decline rapidly,4000
39%,13-2071.00,Loan Counselors,Faster than average,8800
38%,13-2099.00,"Financial Specialists, All Other",Average,43200
,13-2099.01,Financial Quantitative Analysts,,
,13-2099.02,Risk Management Specialists,,
,13-2099.03,Investment Underwriters,,
,13-2099.04,"Fraud Examiners, Investigators and Analysts",,
34%,15-2099.00,"Mathematical Science Occupations, All Other",Faster than average,3100
31%,11-3031.00,Financial Managers,Average,138200
,11-3031.01,Treasurers and Controllers,,
,11-3031.02,"Financial Managers, Branch or Department",,
29%,23-2093.00,"Title Examiners, Abstractors, and Searchers",Little or no change,10300
25%,23-1022.00,"Arbitrators, Mediators, and Conciliators",Faster than average,3200
23%,43-4051.00,Customer Service Representatives,Faster than average,1108400
,43-4051.03,Patient Representatives,,
21%,15-2031.00,Operations Research Analysts,Much faster than average,32200
20%,43-9071.00,"Office Machine Operators, Except Computer",Decline slowly or moderately,26500
19%,43-3011.00,Bill and Account Collectors,Faster than average,156900
19%,43-9111.00,Statistical Assistants,Slower than average,3900
,43-9111.01,Bioinformatics Technicians,,
19%,15-2091.00,Mathematical Technicians,Average,500
16%,43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Average,489000
16%,11-3042.00,Training and Development Managers,Average,10100
15%,13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",Much faster than average,60500
15%,43-9011.00,Computer Operators,Decline rapidly,12400
13%,15-1051.00,Computer Systems Analysts,Much faster than average,222800
,15-1051.01,Informatics Nurse Specialists,,
13%,11-3021.00,Computer and Information Systems Managers,Faster than average,97100
13%,11-2021.00,Marketing Managers,Average,59700
13%,15-1061.00,Database Administrators,Much faster than average,44400
13%,15-2041.00,Statisticians,Average,9600
,15-2041.01,Biostatisticians,,
,15-2041.02,Clinical Data Managers,,
12%,13-1073.00,Training and Development Specialists,Much faster than average,107100
12%,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Decline rapidly,25600
12%,11-2031.00,Public Relations Managers,Average,20600
12%,11-3041.00,Compensation and Benefits Managers,Average,12100
11%,19-3021.00,Market Research Analysts,Much faster than average,137300
11%,13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",Much faster than average,108500
,13-1041.01,Environmental Compliance Inspectors,,
,13-1041.02,Licensing Examiners and Inspectors,,
,13-1041.03,Equal Opportunity Representatives and Officers,,
,13-1041.04,Government Property Inspectors and Investigators,,
,13-1041.06,Coroners,,
,13-1041.07,Regulatory Affairs Specialists,,
11%,43-9021.00,Data Entry Keyers,Decline slowly or moderately,59200
11%,43-4071.00,File Clerks,Decline rapidly,51600
10%,43-6011.00,Executive Secretaries and Administrative Assistants,Average,419200
10%,15-1031.00,"Computer Software Engineers, Applications",Much faster than average,218400
10%,41-9099.00,"Sales and Related Workers, All Other",Average,48600
