Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
98%,29-2021.00,Dental Hygienists,Much faster than average,98400
97%,29-2033.00,Nuclear Medicine Technologists,Faster than average,6700
96%,31-9091.00,Dental Assistants,Much faster than average,161000
96%,29-2055.00,Surgical Technologists,Much faster than average,46300
96%,29-2031.00,Cardiovascular Technologists and Technicians,Much faster than average,19100
96%,29-2032.00,Diagnostic Medical Sonographers,Faster than average,16500
95%,31-2022.00,Physical Therapist Aides,Much faster than average,23400
94%,29-2034.00,Radiologic Technologists and Technicians,Faster than average,68000
,29-2034.01,Radiologic Technologists,,
,29-2034.02,Radiologic Technicians,,
94%,31-2021.00,Physical Therapist Assistants,Much faster than average,30500
94%,29-2054.00,Respiratory Therapy Technicians,Little or no change,4200
93%,31-9092.00,Medical Assistants,Much faster than average,217800
93%,43-6013.00,Medical Secretaries,Much faster than average,189000
93%,29-1124.00,Radiation Therapists,Much faster than average,6900
92%,31-1011.00,Home Health Aides,Much faster than average,552700
90%,29-1126.00,Respiratory Therapists,Much faster than average,41400
90%,31-2012.00,Occupational Therapist Aides,Much faster than average,3500
89%,31-1012.00,"Nursing Aides, Orderlies, and Attendants",Faster than average,422300
89%,29-1071.00,Physician Assistants,Much faster than average,42800
,29-1071.01,Anesthesiologist Assistants,,
89%,31-9093.00,Medical Equipment Preparers,Average,11200
,31-9093.01,Endoscopy Technicians,,
87%,29-2011.00,Medical and Clinical Laboratory Technologists,Average,53300
,29-2011.01,Cytogenetic Technologists,,
,29-2011.02,Cytotechnologists,,
,29-2011.03,Histotechnologists and Histologic Technicians,,
85%,31-2011.00,Occupational Therapist Assistants,Much faster than average,11800
84%,29-1111.00,Registered Nurses,Much faster than average,1039000
,29-1111.01,Acute Care Nurses,,
,29-1111.02,Advanced Practice Psychiatric Nurses,,
,29-1111.03,Critical Care Nurses,,
84%,29-1123.00,Physical Therapists,Much faster than average,78600
84%,29-2071.00,Medical Records and Health Information Technicians,Much faster than average,70300
83%,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Much faster than average,391300
83%,29-2012.00,Medical and Clinical Laboratory Technicians,Faster than average,54600
80%,21-1022.00,Medical and Public Health Social Workers,Much faster than average,65900
80%,29-2053.00,Psychiatric Technicians,Slower than average,16800
79%,29-2099.00,"Health Technologists and Technicians, All Other",Faster than average,32000
,29-2099.01,Electroneurodiagnostic Technologists,,
,29-2099.02,Hearing Aid Specialists,,
,29-2099.03,Ophthalmic Medical Technologists and Technicians,,
,29-2099.04,Nurse Midwives,,
79%,29-2051.00,Dietetic Technicians,Faster than average,9900
78%,,Physicians and Surgeons,Much faster than average,260500
,29-1061.00,Anesthesiologists,,
,29-1062.00,Family and General Practitioners,,
,29-1063.00,"Internists, General",,
,29-1064.00,Obstetricians and Gynecologists,,
,29-1065.00,"Pediatricians, General",,
,29-1066.00,Psychiatrists,,
,29-1067.00,Surgeons,,
,29-1069.00,"Physicians and Surgeons, All Other",,
,29-1069.01,Allergists and Immunologists,,
,29-1069.02,Dermatologists,,
,29-1069.03,Hospitalists,,
,29-1069.04,Neurologists,,
,29-1069.05,Nuclear Medicine Physicians,,
,29-1069.06,Ophthalmologists,,
,29-1069.07,Pathologists,,
,29-1069.08,Physical Medicine and Rehabilitation Physicians,,
,29-1069.09,Preventive Medicine Physicians,,
,29-1069.10,Radiologists,,
,29-1069.11,Sports Medicine Physicians,,
,29-1069.12,Urologists,,
78%,21-1014.00,Mental Health Counselors,Much faster than average,50100
78%,29-1125.00,Recreational Therapists,Faster than average,11600
76%,31-9099.00,"Healthcare Support Workers, All Other",Faster than average,56700
,31-9099.01,Speech-Language Pathology Assistants,,
75%,11-9111.00,Medical and Health Services Managers,Faster than average,99400
,11-9111.01,Clinical Nurse Specialists,,
75%,21-1023.00,Mental Health and Substance Abuse Social Workers,Much faster than average,61300
74%,29-1122.00,Occupational Therapists,Much faster than average,45800
,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",,
