Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
87%,39-3021.00,Motion Picture Projectionists,Little or no change,4700
78%,27-3022.00,Reporters and Correspondents,Decline slowly or moderately,16900
77%,27-3021.00,Broadcast News Analysts,Slower than average,2400
73%,27-4012.00,Broadcast Technicians,Little or no change,12400
69%,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Little or no change,35600
68%,43-2021.00,Telephone Operators,Decline slowly or moderately,3900
64%,49-9052.00,Telecommunications Line Installers and Repairers,Little or no change,27900
63%,27-3011.00,Radio and Television Announcers,Decline slowly or moderately,15500
62%,27-4032.00,Film and Video Editors,Average,9300
61%,27-3041.00,Editors,Little or no change,33900
61%,27-4014.00,Sound Engineering Technicians,Slower than average,7100
58%,27-4031.00,"Camera Operators, Television, Video, and Motion Picture",Average,8900
55%,41-3011.00,Advertising Sales Agents,Average,45100
55%,27-2012.00,Producers and Directors,Average,40400
,27-2012.01,Producers,,
,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",,
,27-2012.03,Program Directors,,
,27-2012.04,Talent Directors,,
,27-2012.05,Technical Directors/Managers,,
43%,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",Average,20800
43%,43-9031.00,Desktop Publishers,Decline rapidly,4400
34%,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Faster than average,81900
30%,27-4099.00,"Media and Communication Equipment Workers, All Other",Average,7600
30%,43-9081.00,Proofreaders and Copy Markers,Decline slowly or moderately,3000
23%,27-3099.00,"Media and Communication Workers, All Other",Average,11700
22%,27-2011.00,Actors,Average,20800
21%,27-4011.00,Audio and Video Equipment Technicians,Average,23700
20%,27-1014.00,Multi-Media Artists and Animators,Faster than average,28900
19%,17-2072.00,"Electronics Engineers, Except Computer",Little or no change,33400
,17-2072.01,Radio Frequency Identification Device Specialists,,
19%,51-5022.00,Prepress Technicians and Workers,Decline rapidly,7700
17%,41-3099.00,"Sales Representatives, Services, All Other",Faster than average,228100
,41-3099.01,Energy Brokers,,
17%,15-1081.00,Network Systems and Data Communications Analysts,Much faster than average,208300
,15-1081.01,Telecommunications Specialists,,
17%,15-1032.00,"Computer Software Engineers, Systems Software",Much faster than average,153400
16%,15-1011.00,"Computer and Information Scientists, Research",Much faster than average,13200
16%,43-2099.00,"Communications Equipment Operators, All Other",Decline rapidly,800
15%,51-9131.00,Photographic Process Workers,Slower than average,6000
15%,27-1027.00,Set and Exhibit Designers,Faster than average,5100
15%,27-4013.00,Radio Operators,Average,400
14%,15-1031.00,"Computer Software Engineers, Applications",Much faster than average,218400
14%,27-1024.00,Graphic Designers,Average,124800
14%,27-3042.00,Technical Writers,Faster than average,16800
14%,11-2011.00,Advertising and Promotions Managers,Little or no change,10500
,11-2011.01,Green Marketers,,
13%,15-1071.00,Network and Computer Systems Administrators,Much faster than average,135500
,15-1071.01,Computer Security Specialists,,
13%,51-5021.00,Job Printers,Decline slowly or moderately,1700
12%,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Decline rapidly,25600
12%,43-9011.00,Computer Operators,Decline rapidly,12400
11%,11-3021.00,Computer and Information Systems Managers,Faster than average,97100
11%,27-3043.00,Writers and Authors,Faster than average,54200
,27-3043.04,Copy Writers,,
,27-3043.05,"Poets, Lyricists and Creative Writers",,
11%,41-9031.00,Sales Engineers,Average,35000
11%,27-1011.00,Art Directors,Average,28700
11%,39-5091.00,"Makeup Artists, Theatrical and Performance",Faster than average,900
10%,15-1041.00,Computer Support Specialists,Faster than average,234600
10%,19-3021.00,Market Research Analysts,Much faster than average,137300
10%,15-1021.00,Computer Programmers,Decline slowly or moderately,80300
10%,15-1061.00,Database Administrators,Much faster than average,44400
10%,51-5023.00,Printing Machine Operators,Decline slowly or moderately,41000
10%,17-3023.00,Electrical and Electronic Engineering Technicians,Little or no change,31000
,17-3023.01,Electronics Engineering Technicians,,
,17-3023.03,Electrical Engineering Technicians,,
10%,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,Average,14300
10%,49-2021.00,Radio Mechanics,Decline slowly or moderately,1000
