Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
100%,51-4052.00,"Pourers and Casters, Metal",Decline rapidly,2900
100%,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Decline rapidly,1500
99%,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Decline rapidly,5800
98%,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Average,36900
98%,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,9100
98%,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Decline rapidly,1700
98%,51-6042.00,Shoe Machine Operators and Tenders,Decline rapidly,500
97%,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Decline slowly or moderately,17800
97%,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,10600
97%,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,10500
97%,51-9141.00,Semiconductor Processors,Decline rapidly,6500
97%,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,5500
97%,51-4111.00,Tool and Die Makers,Decline slowly or moderately,5100
97%,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,2700
97%,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Decline rapidly,1900
96%,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Faster than average,29600
96%,51-8091.00,Chemical Plant and System Operators,Decline rapidly,10400
96%,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,6700
96%,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,5100
95%,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Decline slowly or moderately,29800
95%,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,13600
95%,51-4051.00,Metal-Refining Furnace Operators and Tenders,Decline slowly or moderately,3700
95%,51-2021.00,"Coil Winders, Tapers, and Finishers",Decline rapidly,3400
95%,51-4012.00,Numerical Tool and Process Control Programmers,Decline rapidly,3300
95%,51-7032.00,"Patternmakers, Wood",Decline slowly or moderately,400
94%,51-3023.00,Slaughterers and Meat Packers,Slower than average,35600
94%,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",Decline rapidly,21600
94%,51-9197.00,Tire Builders,Decline rapidly,7400
94%,51-9191.00,Cementing and Gluing Machine Operators and Tenders,Decline rapidly,4800
93%,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Average,13400
93%,51-2023.00,Electromechanical Equipment Assemblers,Decline rapidly,9600
93%,51-2091.00,Fiberglass Laminators and Fabricators,Decline slowly or moderately,6800
93%,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Little or no change,2000
92%,51-9022.00,"Grinding and Polishing Workers, Hand",Average,9900
91%,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Average,23500
90%,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",Faster than average,46100
90%,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,16800
90%,51-9011.00,Chemical Equipment Operators and Tenders,Decline rapidly,4400
90%,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Decline slowly or moderately,3700
89%,51-9031.00,"Cutters and Trimmers, Hand",Decline rapidly,5200
89%,51-4071.00,Foundry Mold and Coremakers,Decline rapidly,3100
88%,51-2022.00,Electrical and Electronic Equipment Assemblers,Decline rapidly,32900
88%,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Slower than average,31800
88%,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Decline slowly or moderately,16100
87%,51-2031.00,Engine and Other Machine Assemblers,Decline slowly or moderately,8400
87%,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Average,7700
87%,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",Decline rapidly,3400
87%,51-2093.00,"Timing Device Assemblers, Adjusters, and Calibrators",Decline slowly or moderately,600
87%,51-7031.00,"Model Makers, Wood",Little or no change,400
86%,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Decline slowly or moderately,2500
86%,51-4192.00,"Lay-Out Workers, Metal and Plastic",Decline rapidly,1600
85%,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Decline rapidly,46800
85%,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Decline slowly or moderately,16600
85%,51-5012.00,Bookbinders,Decline rapidly,900
84%,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",Little or no change,10200
84%,51-4062.00,"Patternmakers, Metal and Plastic",Decline slowly or moderately,400
83%,51-2041.00,Structural Metal Fabricators and Fitters,Little or no change,24000
83%,51-5011.00,Bindery Workers,Decline rapidly,8800
81%,51-3092.00,Food Batchmakers,Average,32900
81%,51-4199.00,"Metal Workers and Plastic Workers, All Other",Decline slowly or moderately,6000
80%,11-3051.00,Industrial Production Managers,Decline slowly or moderately,54700
,11-3051.01,Quality Control Systems Managers,,
,11-3051.02,Geothermal Production Managers,,
,11-3051.03,Biofuels Production Managers,,
,11-3051.04,Biomass Production Managers,,
,11-3051.05,Methane/Landfill Gas Collection System Operators,,
,11-3051.06,Hydroelectric Production Managers,,
80%,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Little or no change,5300
78%,51-4041.00,Machinists,Decline slowly or moderately,55600
77%,51-9081.00,Dental Laboratory Technicians,Faster than average,15300
76%,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Slower than average,65100
76%,51-6031.00,Sewing Machine Operators,Decline rapidly,11700
76%,51-4061.00,"Model Makers, Metal and Plastic",Decline slowly or moderately,600
75%,51-7011.00,Cabinetmakers and Bench Carpenters,Average,41600
74%,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Slower than average,25200
,51-9195.03,"Stone Cutters and Carvers, Manufacturing",,
,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",,
,51-9195.05,"Potters, Manufacturing",,
,51-9195.07,Molding and Casting Workers,,
73%,51-2092.00,Team Assemblers,Little or no change,250900
73%,17-3026.00,Industrial Engineering Technicians,Average,18500
73%,51-4194.00,"Tool Grinders, Filers, and Sharpeners",Decline slowly or moderately,5800
71%,51-5023.00,Printing Machine Operators,Decline slowly or moderately,41000
71%,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",Decline slowly or moderately,400
70%,51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers,Decline slowly or moderately,91900
70%,17-2112.00,Industrial Engineers,Faster than average,85400
,17-2112.01,Human Factors Engineers and Ergonomists,,
70%,53-7063.00,Machine Feeders and Offbearers,Decline rapidly,15900
70%,51-6092.00,Fabric and Apparel Patternmakers,Decline rapidly,900
69%,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Decline slowly or moderately,77900
69%,51-9111.00,Packaging and Filling Machine Operators and Tenders,Little or no change,58500
69%,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Little or no change,7000
68%,51-3093.00,Food Cooking Machine Operators and Tenders,Slower than average,12800
66%,51-5022.00,Prepress Technicians and Workers,Decline rapidly,7700
65%,51-9198.00,Helpers--Production Workers,Little or no change,84600
64%,51-2099.00,"Assemblers and Fabricators, All Other",Little or no change,75800
64%,51-9082.00,Medical Appliance Technicians,Average,4200
64%,17-3021.00,Aerospace Engineering and Operations Technicians,Little or no change,1800
62%,51-4121.00,"Welders, Cutters, Solderers, and Brazers",Little or no change,126300
,51-4121.06,"Welders, Cutters, and Welder Fitters",,
,51-4121.07,Solderers and Brazers,,
61%,17-2131.00,Materials Engineers,Average,8100
60%,51-5021.00,Job Printers,Decline slowly or moderately,1700
59%,49-9041.00,Industrial Machinery Mechanics,Average,62400
59%,17-3024.00,Electro-Mechanical Technicians,Decline slowly or moderately,3100
,17-3024.01,Robotics Technicians,,
56%,51-9199.00,"Production Workers, All Other",Little or no change,70900
,51-9199.01,Recycling and Reclamation Workers,,
54%,17-2011.00,Aerospace Engineers,Average,22300
54%,17-3013.00,Mechanical Drafters,Little or no change,16900
52%,19-4031.00,Chemical Technicians,Little or no change,13300
52%,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Decline rapidly,10800
51%,17-2141.00,Mechanical Engineers,Slower than average,75700
,17-2141.01,Fuel Cell Engineers,,
,17-2141.02,Automotive Engineers,,
51%,17-2041.00,Chemical Engineers,Little or no change,7800
51%,51-7021.00,Furniture Finishers,Slower than average,7200
51%,49-9093.00,"Fabric Menders, Except Garment",Decline rapidly,200
50%,51-9194.00,Etchers and Engravers,Little or no change,700
48%,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",Decline rapidly,2500
48%,51-6041.00,Shoe and Leather Workers and Repairers,Decline rapidly,1100
47%,49-9043.00,"Maintenance Workers, Machinery",Slower than average,15100
47%,17-2031.00,Biomedical Engineers,Much faster than average,14900
46%,17-3027.00,Mechanical Engineering Technicians,Little or no change,8700
,17-3027.01,Automotive Engineering Technicians,,
45%,45-4023.00,Log Graders and Scalers,Little or no change,1500
43%,17-2061.00,Computer Hardware Engineers,Slower than average,23500
43%,51-9123.00,"Painting, Coating, and Decorating Workers",Average,11900
43%,49-9044.00,Millwrights,Little or no change,9800
43%,19-1012.00,Food Scientists and Technologists,Faster than average,6900
43%,51-6093.00,Upholsterers,Average,6900
42%,19-2031.00,Chemists,Little or no change,30000
42%,19-2032.00,Materials Scientists,Average,4400
41%,11-9041.00,Engineering Managers,Slower than average,48700
