Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
100%,47-5061.00,"Roof Bolters, Mining",Decline slowly or moderately,900
99%,47-5041.00,Continuous Mining Machine Operators,Decline slowly or moderately,1900
98%,53-7111.00,Shuttle Car Operators,Decline slowly or moderately,900
97%,47-5011.00,"Derrick Operators, Oil and Gas",Decline rapidly,4300
96%,53-7073.00,Wellhead Pumpers,Decline rapidly,5400
94%,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",Decline rapidly,6700
94%,47-5012.00,"Rotary Drill Operators, Oil and Gas",Decline rapidly,4900
92%,47-5042.00,Mine Cutting and Channeling Machine Operators,Slower than average,2000
91%,47-5071.00,"Roustabouts, Oil and Gas",Decline rapidly,11300
86%,47-5049.00,"Mining Machine Operators, All Other",Little or no change,800
81%,47-5099.00,"Extraction Workers, All Other",Decline slowly or moderately,1400
79%,53-7033.00,"Loading Machine Operators, Underground Mining",Decline slowly or moderately,1300
78%,47-5051.00,"Rock Splitters, Quarry",Little or no change,800
77%,47-5081.00,Helpers--Extraction Workers,Decline rapidly,4500
58%,17-2171.00,Petroleum Engineers,Faster than average,8600
56%,19-4041.00,Geological and Petroleum Technicians,Little or no change,5500
,19-4041.01,Geophysical Data Technicians,,
,19-4041.02,Geological Sample Test Technicians,,
51%,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Faster than average,2600
43%,53-7031.00,Dredge Operators,Average,800
41%,53-7072.00,"Pump Operators, Except Wellhead Pumpers",Decline rapidly,2800
39%,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Slower than average,1300
29%,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Decline rapidly,10800
25%,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Faster than average,15400
25%,47-5021.00,"Earth Drillers, Except Oil and Gas",Average,5700
19%,53-7032.00,Excavating and Loading Machine and Dragline Operators,Average,28500
19%,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Decline rapidly,1200
16%,49-9096.00,Riggers,Little or no change,2100
14%,51-8092.00,Gas Plant Operators,Decline slowly or moderately,3400
13%,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Little or no change,7000
