Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
97%,21-2011.00,Clergy,Average,217700
97%,21-2021.00,"Directors, Religious Activities and Education",Average,26400
97%,39-4021.00,Funeral Attendants,Much faster than average,25500
97%,39-4011.00,Embalmers,Slower than average,4500
92%,21-2099.00,"Religious Workers, All Other",Average,8100
85%,11-9061.00,Funeral Directors,Average,9600
85%,35-2013.00,"Cooks, Private Household",Slower than average,1500
80%,49-3022.00,Automotive Glass Installers and Repairers,Little or no change,4400
79%,51-6021.00,"Pressers, Textile, Garment, and Related Materials",Decline slowly or moderately,2900
68%,39-5093.00,Shampooers,Faster than average,6700
64%,39-5092.00,Manicurists and Pedicurists,Faster than average,25300
60%,49-3021.00,Automotive Body and Related Repairers,Little or no change,43800
56%,27-2041.00,Music Directors and Composers,Average,16200
,27-2041.01,Music Directors,,
,27-2041.04,Music Composers and Arrangers,,
55%,53-6021.00,Parking Lot Attendants,Slower than average,54700
53%,39-5094.00,Skin Care Specialists,Much faster than average,20300
51%,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Much faster than average,219500
48%,51-6011.00,Laundry and Dry-Cleaning Workers,Slower than average,47600
47%,51-9122.00,"Painters, Transportation Equipment",Little or no change,14100
43%,53-6031.00,Service Station Attendants,Little or no change,34700
37%,53-7061.00,Cleaners of Vehicles and Equipment,Little or no change,127700
36%,39-5091.00,"Makeup Artists, Theatrical and Performance",Faster than average,900
34%,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Slower than average,9400
32%,37-2012.00,Maids and Housekeeping Cleaners,Slower than average,354400
31%,49-3023.00,Automotive Service Technicians and Mechanics,Slower than average,181700
,49-3023.01,Automotive Master Mechanics,,
,49-3023.02,Automotive Specialty Technicians,,
31%,39-2021.00,Nonfarm Animal Caretakers,Much faster than average,73600
29%,49-2021.00,Radio Mechanics,Decline slowly or moderately,1000
27%,13-1121.00,Meeting and Convention Planners,Faster than average,21400
27%,49-9031.00,Home Appliance Repairers,Little or no change,8700
26%,27-2042.00,Musicians and Singers,Average,51900
,27-2042.01,Singers,,
,27-2042.02,"Musicians, Instrumental",,
26%,51-9131.00,Photographic Process Workers,Slower than average,6000
25%,39-9011.00,Child Care Workers,Average,523100
,39-9011.01,Nannies,,
25%,25-3021.00,Self-Enrichment Education Teachers,Much faster than average,120300
25%,13-1079.00,"Human Resources, Training, and Labor Relations Specialists, All Other",Much faster than average,105900
23%,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Average,90800
22%,39-9099.00,"Personal Care and Service Workers, All Other",Faster than average,39600
22%,51-6093.00,Upholsterers,Average,6900
21%,27-3031.00,Public Relations Specialists,Much faster than average,131300
21%,39-3012.00,Gaming and Sports Book Writers and Runners,Average,9000
21%,49-9061.00,Camera and Photographic Equipment Repairers,Decline rapidly,1300
21%,51-6041.00,Shoe and Leather Workers and Repairers,Decline rapidly,1100
20%,11-2031.00,Public Relations Managers,Average,20600
20%,49-9064.00,Watch Repairers,Decline rapidly,900
19%,31-9011.00,Massage Therapists,Faster than average,39500
19%,39-5011.00,Barbers,Average,14000
18%,39-9021.00,Personal and Home Care Aides,Much faster than average,477800
18%,41-2021.00,Counter and Rental Clerks,Slower than average,133500
18%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Little or no change,5000
17%,11-9151.00,Social and Community Service Managers,Faster than average,48200
16%,39-9031.00,Fitness Trainers and Aerobics Instructors,Much faster than average,123800
16%,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Average,85000
16%,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Average,12000
16%,49-3051.00,Motorboat Mechanics,Slower than average,5800
16%,23-1022.00,"Arbitrators, Mediators, and Conciliators",Faster than average,3200
15%,39-9032.00,Recreation Workers,Faster than average,107200
15%,39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,Faster than average,90800
,39-1021.01,Spa Managers,,
14%,21-1099.00,"Community and Social Service Specialists, All Other",Faster than average,42700
14%,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program",Average,24600
14%,49-9062.00,Medical Equipment Repairers,Much faster than average,23200
14%,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Little or no change,5800
13%,25-2011.00,"Preschool Teachers, Except Special Education",Faster than average,178300
12%,49-1011.00,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",Slower than average,136500
12%,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Decline slowly or moderately,26300
12%,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,Average,14300
12%,39-6012.00,Concierges,Faster than average,8200
12%,51-7021.00,Furniture Finishers,Slower than average,7200
12%,27-2023.00,"Umpires, Referees, and Other Sports Officials",Average,4700
11%,21-1091.00,Health Educators,Faster than average,26000
11%,33-9011.00,Animal Control Workers,Average,5800
11%,49-3092.00,Recreational Vehicle Service Technicians,Average,3700
11%,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",Little or no change,3400
11%,25-4011.00,Archivists,Slower than average,2300
11%,49-9063.00,Musical Instrument Repairers and Tuners,Little or no change,1800
10%,43-4171.00,Receptionists and Information Clerks,Faster than average,480200
10%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Slower than average,75300
10%,49-9041.00,Industrial Machinery Mechanics,Average,62400
10%,41-9099.00,"Sales and Related Workers, All Other",Average,48600
10%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Slower than average,3400
