Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
92%,29-2056.00,Veterinary Technologists and Technicians,Much faster than average,48500
87%,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Much faster than average,25500
85%,43-6012.00,Legal Secretaries,Faster than average,83800
82%,29-1131.00,Veterinarians,Much faster than average,30200
80%,17-3011.00,Architectural and Civil Drafters,Average,36200
,17-3011.01,Architectural Drafters,,
,17-3011.02,Civil Drafters,,
78%,17-1022.00,Surveyors,Faster than average,23300
,17-1022.01,Geodetic Surveyors,,
71%,23-2011.00,Paralegals and Legal Assistants,Much faster than average,104000
70%,13-2082.00,Tax Preparers,Slower than average,18500
69%,17-1011.00,"Architects, Except Landscape and Naval",Faster than average,46800
69%,17-3031.00,Surveying and Mapping Technicians,Much faster than average,29400
,17-3031.01,Surveying Technicians,,
,17-3031.02,Mapping Technicians,,
65%,19-3022.00,Survey Researchers,Much faster than average,13400
56%,17-3025.00,Environmental Engineering Technicians,Much faster than average,10400
52%,17-1012.00,Landscape Architects,Much faster than average,9800
52%,19-3091.00,Anthropologists and Archeologists,Much faster than average,4500
,19-3091.01,Anthropologists,,
,19-3091.02,Archeologists,,
51%,17-2051.00,Civil Engineers,Much faster than average,114600
,17-2051.01,Transportation Engineers,,
,17-2051.02,Water/Wastewater Engineers,,
51%,17-2081.00,Environmental Engineers,Much faster than average,27900
49%,23-1011.00,Lawyers,Average,240400
49%,19-2012.00,Physicists,Faster than average,6900
47%,17-3022.00,Civil Engineering Technicians,Faster than average,32800
47%,19-1021.00,Biochemists and Biophysicists,Much faster than average,16200
47%,17-1021.00,Cartographers and Photogrammetrists,Much faster than average,6400
46%,19-2043.00,Hydrologists,Faster than average,3800
45%,27-1025.00,Interior Designers,Faster than average,35900
45%,19-4091.00,"Environmental Science and Protection Technicians, Including Health",Much faster than average,25200
45%,19-3041.00,Sociologists,Much faster than average,2000
43%,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Faster than average,15400
43%,17-2121.00,Marine Engineers and Naval Architects,Slower than average,2300
,17-2121.01,Marine Engineers,,
,17-2121.02,Marine Architects,,
42%,15-1031.00,"Computer Software Engineers, Applications",Much faster than average,218400
42%,15-1011.00,"Computer and Information Scientists, Research",Much faster than average,13200
42%,23-2093.00,"Title Examiners, Abstractors, and Searchers",Little or no change,10300
42%,17-3019.00,"Drafters, All Other",Little or no change,5100
41%,15-1032.00,"Computer Software Engineers, Systems Software",Much faster than average,153400
41%,19-2041.00,"Environmental Scientists and Specialists, Including Health",Much faster than average,48400
,19-2041.01,Climate Change Analysts,,
,19-2041.02,Environmental Restoration Planners,,
,19-2041.03,Industrial Ecologists,,
41%,15-2021.00,Mathematicians,Much faster than average,1500
40%,15-1021.00,Computer Programmers,Decline slowly or moderately,80300
40%,23-2092.00,Law Clerks,Faster than average,10800
40%,19-2021.00,Atmospheric and Space Scientists,Faster than average,3300
38%,27-3042.00,Technical Writers,Faster than average,16800
38%,19-3032.00,Industrial-Organizational Psychologists,Much faster than average,1300
