Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
47%,41-2021.00,Counter and Rental Clerks,Slower than average,133500
40%,11-9141.00,"Property, Real Estate, and Community Association Managers",Average,78000
37%,41-9021.00,Real Estate Brokers,Average,30800
32%,41-9022.00,Real Estate Sales Agents,Faster than average,128300
31%,13-2021.00,Appraisers and Assessors of Real Estate,Slower than average,21000
,13-2021.01,Assessors,,
,13-2021.02,"Appraisers, Real Estate",,
27%,39-6012.00,Concierges,Faster than average,8200
18%,49-9042.00,"Maintenance and Repair Workers, General",Average,357500
12%,27-4011.00,Audio and Video Equipment Technicians,Average,23700
11%,53-3099.00,"Motor Vehicle Operators, All Other",Average,20600
