Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
92%,49-3091.00,Bicycle Repairers,Faster than average,4000
89%,41-2031.00,Retail Salespersons,Average,1626900
88%,31-9095.00,Pharmacy Aides,Decline slowly or moderately,6100
82%,41-2011.00,Cashiers,Slower than average,1719900
82%,51-3021.00,Butchers and Meat Cutters,Little or no change,43300
81%,49-3093.00,Tire Repairers and Changers,Little or no change,22300
79%,49-3052.00,Motorcycle Mechanics,Average,5600
77%,49-3092.00,Recreational Vehicle Service Technicians,Average,3700
73%,29-2052.00,Pharmacy Technicians,Much faster than average,182000
73%,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",Little or no change,3400
69%,51-9132.00,Photographic Processing Machine Operators,Decline rapidly,12600
68%,43-5081.00,Stock Clerks and Order Fillers,Average,562600
,43-5081.01,"Stock Clerks, Sales Floor",,
,43-5081.02,Marking Clerks,,
,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",,
,43-5081.04,"Order Fillers, Wholesale and Retail Sales",,
68%,27-1023.00,Floral Designers,Decline slowly or moderately,23400
66%,41-2022.00,Parts Salespersons,Little or no change,82600
65%,29-1051.00,Pharmacists,Faster than average,105800
61%,41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers,Slower than average,450100
60%,49-9063.00,Musical Instrument Repairers and Tuners,Little or no change,1800
47%,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,Slower than average,8000
45%,53-6031.00,Service Station Attendants,Little or no change,34700
45%,49-3051.00,Motorboat Mechanics,Slower than average,5800
45%,49-9064.00,Watch Repairers,Decline rapidly,900
42%,29-2081.00,"Opticians, Dispensing",Average,20200
41%,49-3023.00,Automotive Service Technicians and Mechanics,Slower than average,181700
,49-3023.01,Automotive Master Mechanics,,
,49-3023.02,Automotive Specialty Technicians,,
39%,49-9095.00,Manufactured Building and Mobile Home Installers,Slower than average,1200
38%,51-9123.00,"Painting, Coating, and Decorating Workers",Average,11900
37%,51-3011.00,Bakers,Little or no change,39200
33%,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,Average,14300
32%,49-9031.00,Home Appliance Repairers,Little or no change,8700
31%,27-1026.00,Merchandise Displayers and Window Trimmers,Average,32200
31%,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Average,17700
29%,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Little or no change,37000
28%,53-7064.00,"Packers and Packagers, Hand",Decline slowly or moderately,126100
27%,43-4151.00,Order Clerks,Decline rapidly,69600
27%,49-9011.00,Mechanical Door Repairers,Average,4500
26%,53-7061.00,Cleaners of Vehicles and Equipment,Little or no change,127700
26%,51-9194.00,Etchers and Engravers,Little or no change,700
25%,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Little or no change,5800
23%,41-9011.00,Demonstrators and Product Promoters,Average,36900
23%,51-9083.00,Ophthalmic Laboratory Technicians,Faster than average,12000
22%,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Decline slowly or moderately,186200
22%,47-2041.00,Carpet Installers,Little or no change,13300
22%,51-3093.00,Food Cooking Machine Operators and Tenders,Slower than average,12800
21%,11-2022.00,Sales Managers,Faster than average,126600
21%,51-9071.00,Jewelers and Precious Stone and Metal Workers,Slower than average,13500
,51-9071.01,Jewelers,,
,51-9071.06,Gem and Diamond Workers,,
,51-9071.07,Precious Metal Workers,,
20%,53-3033.00,"Truck Drivers, Light or Delivery Services",Slower than average,217500
20%,41-9099.00,"Sales and Related Workers, All Other",Average,48600
20%,49-3021.00,Automotive Body and Related Repairers,Little or no change,43800
19%,41-2021.00,Counter and Rental Clerks,Slower than average,133500
19%,39-3099.00,"Entertainment Attendants and Related Workers, All Other",Much faster than average,32100
19%,29-2091.00,Orthotists and Prosthetists,Faster than average,2100
18%,35-2021.00,Food Preparation Workers,Slower than average,357000
18%,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Slower than average,65100
18%,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Decline slowly or moderately,26300
18%,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Little or no change,5500
17%,29-1121.00,Audiologists,Much faster than average,5800
17%,51-6041.00,Shoe and Leather Workers and Repairers,Decline rapidly,1100
16%,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Average,85000
16%,35-9099.00,"Food Preparation and Serving Related Workers, All Other",Little or no change,25600
15%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Little or no change,745800
15%,49-2021.00,Radio Mechanics,Decline slowly or moderately,1000
14%,49-1011.00,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",Slower than average,136500
14%,27-1025.00,Interior Designers,Faster than average,35900
14%,47-2121.00,Glaziers,Average,23900
13%,43-2011.00,"Switchboard Operators, Including Answering Service",Decline rapidly,32100
13%,53-3099.00,"Motor Vehicle Operators, All Other",Average,20600
12%,43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Average,489000
12%,53-3031.00,Driver/Sales Workers,Slower than average,90400
12%,53-1021.00,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",Slower than average,38500
,53-1021.01,Recycling Coordinators,,
12%,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Decline rapidly,25100
12%,27-1029.00,"Designers, All Other",Average,6100
12%,51-6051.00,"Sewers, Hand",Decline slowly or moderately,1300
11%,43-4051.00,Customer Service Representatives,Faster than average,1108400
,43-4051.03,Patient Representatives,,
11%,11-1021.00,General and Operations Managers,Little or no change,502200
11%,39-2021.00,Nonfarm Animal Caretakers,Much faster than average,73600
11%,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",Average,41800
,49-9099.01,Geothermal Technicians,,
,49-9099.02,Wind Turbine Service Technicians,,
11%,51-9131.00,Photographic Process Workers,Slower than average,6000
11%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Slower than average,3400
11%,13-1021.00,"Purchasing Agents and Buyers, Farm Products",Little or no change,3100
10%,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Average,460400
10%,53-7051.00,Industrial Truck and Tractor Operators,Slower than average,198600
10%,43-3061.00,Procurement Clerks,Slower than average,29700
10%,13-2041.00,Credit Analysts,Faster than average,24300
