Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
100%,11-9012.00,Farmers and Ranchers,Decline slowly or moderately,60300
95%,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Decline rapidly,33100
81%,39-5011.00,Barbers,Average,14000
69%,27-3043.00,Writers and Authors,Faster than average,54200
,27-3043.04,Copy Writers,,
,27-3043.05,"Poets, Lyricists and Creative Writers",,
61%,11-9021.00,Construction Managers,Faster than average,137700
60%,27-4021.00,Photographers,Average,48000
60%,27-1014.00,Multi-Media Artists and Animators,Faster than average,28900
60%,27-1011.00,Art Directors,Average,28700
60%,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Average,7400
60%,45-2021.00,Animal Breeders,Slower than average,4800
60%,27-1012.00,Craft Artists,Average,4000
59%,29-1129.00,"Therapists, All Other",Average,10200
59%,27-1019.00,"Artists and Related Workers, All Other",Average,6500
58%,41-9022.00,Real Estate Sales Agents,Faster than average,128300
58%,41-9021.00,Real Estate Brokers,Average,30800
57%,11-9199.00,"Managers, All Other",Average,297500
,11-9199.01,Regulatory Affairs Managers,,
,11-9199.02,Compliance Managers,,
,11-9199.03,Investment Fund Managers,,
,11-9199.04,Supply Chain Managers,,
,11-9199.05,Online Merchants,,
,11-9199.06,Logistics Managers,,
,11-9199.07,Security Managers,,
,11-9199.08,Loss Prevention Managers,,
,11-9199.09,Wind Energy Operations Managers,,
,11-9199.10,Wind Energy Project Managers,,
,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,
57%,31-9011.00,Massage Therapists,Faster than average,39500
56%,45-3011.00,Fishers and Related Fishing Workers,Decline slowly or moderately,9200
54%,27-2042.00,Musicians and Singers,Average,51900
,27-2042.01,Singers,,
,27-2042.02,"Musicians, Instrumental",,
54%,39-2011.00,Animal Trainers,Much faster than average,19000
54%,51-9071.00,Jewelers and Precious Stone and Metal Workers,Slower than average,13500
,51-9071.01,Jewelers,,
,51-9071.06,Gem and Diamond Workers,,
,51-9071.07,Precious Metal Workers,,
51%,51-7099.00,"Woodworkers, All Other",Slower than average,6000
50%,37-1012.00,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",Faster than average,56000
46%,41-1012.00,First-Line Supervisors/Managers of Non-Retail Sales Workers,Slower than average,129500
46%,11-9141.00,"Property, Real Estate, and Community Association Managers",Average,78000
46%,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Much faster than average,10100
45%,47-2141.00,"Painters, Construction and Maintenance",Average,106500
45%,11-9081.00,Lodging Managers,Slower than average,15600
44%,29-1011.00,Chiropractors,Much faster than average,18200
43%,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Much faster than average,219500
43%,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Little or no change,5800
43%,51-6051.00,"Sewers, Hand",Decline slowly or moderately,1300
42%,11-9051.00,Food Service Managers,Slower than average,83700
40%,47-2142.00,Paperhangers,Decline rapidly,100
39%,11-9071.00,Gaming Managers,Average,2000
38%,39-1021.00,First-Line Supervisors/Managers of Personal Service Workers,Faster than average,90800
,39-1021.01,Spa Managers,,
38%,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",Average,20800
37%,39-1011.00,Gaming Supervisors,Average,14100
36%,27-2041.00,Music Directors and Composers,Average,16200
,27-2041.01,Music Directors,,
,27-2041.04,Music Composers and Arrangers,,
36%,39-1012.00,Slot Key Persons,Slower than average,6200
35%,47-2044.00,Tile and Marble Setters,Faster than average,30700
35%,47-2041.00,Carpet Installers,Little or no change,13300
35%,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Little or no change,5500
35%,47-2043.00,Floor Sanders and Finishers,Average,4600
34%,19-3031.00,"Clinical, Counseling, and School Psychologists",Average,59900
,19-3031.01,School Psychologists,,
,19-3031.02,Clinical Psychologists,,
,19-3031.03,Counseling Psychologists,,
34%,19-3032.00,Industrial-Organizational Psychologists,Much faster than average,1300
33%,27-3011.00,Radio and Television Announcers,Decline slowly or moderately,15500
33%,19-3039.00,"Psychologists, All Other",Faster than average,6800
,19-3039.01,Neuropsychologists and Clinical Neuropsychologists,,
33%,27-3012.00,Public Address System and Other Announcers,Average,4500
32%,39-9011.00,Child Care Workers,Average,523100
,39-9011.01,Nannies,,
32%,47-2031.00,Carpenters,Average,325400
,47-2031.01,Construction Carpenters,,
,47-2031.02,Rough Carpenters,,
32%,39-5092.00,Manicurists and Pedicurists,Faster than average,25300
32%,39-5094.00,Skin Care Specialists,Much faster than average,20300
32%,39-5093.00,Shampooers,Faster than average,6700
32%,45-4023.00,Log Graders and Scalers,Little or no change,1500
32%,39-5091.00,"Makeup Artists, Theatrical and Performance",Faster than average,900
31%,41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers,Slower than average,450100
31%,45-4022.00,Logging Equipment Operators,Average,14400
31%,45-4029.00,"Logging Workers, All Other",Faster than average,3200
31%,45-4021.00,Fallers,Decline slowly or moderately,3000
29%,13-2052.00,Personal Financial Advisors,Much faster than average,85300
29%,13-2082.00,Tax Preparers,Slower than average,18500
28%,29-1021.00,"Dentists, General",Faster than average,51800
28%,51-6093.00,Upholsterers,Average,6900
28%,29-1023.00,Orthodontists,Much faster than average,3600
28%,29-1022.00,Oral and Maxillofacial Surgeons,Faster than average,2900
28%,29-1024.00,Prosthodontists,Much faster than average,300
27%,47-2021.00,Brickmasons and Blockmasons,Average,50000
27%,27-1025.00,Interior Designers,Faster than average,35900
27%,27-1026.00,Merchandise Displayers and Window Trimmers,Average,32200
27%,27-1023.00,Floral Designers,Decline slowly or moderately,23400
27%,13-2021.00,Appraisers and Assessors of Real Estate,Slower than average,21000
,13-2021.01,Assessors,,
,13-2021.02,"Appraisers, Real Estate",,
