Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
100%,39-6031.00,Flight Attendants,Average,30100
96%,53-4021.00,"Railroad Brake, Signal, and Switch Operators",Average,10700
94%,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Average,32500
91%,43-5011.00,Cargo and Freight Agents,Much faster than average,40300
,43-5011.01,Freight Forwarders,,
91%,53-4031.00,Railroad Conductors and Yardmasters,Average,17000
78%,53-4099.00,"Rail Transportation Workers, All Other",Slower than average,1800
78%,49-9097.00,Signal and Track Switch Repairers,Little or no change,1100
76%,53-1011.00,Aircraft Cargo Handling Supervisors,Average,1200
75%,53-5011.00,Sailors and Marine Oilers,Average,17900
75%,53-5031.00,Ship Engineers,Faster than average,7000
75%,49-3043.00,Rail Car Repairers,Average,5900
74%,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Faster than average,19500
,53-5021.01,Ship and Boat Captains,,
,53-5021.02,"Mates- Ship, Boat, and Barge",,
,53-5021.03,"Pilots, Ship",,
73%,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Faster than average,6500
72%,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Average,51500
70%,39-6032.00,"Transportation Attendants, Except Flight Attendants and Baggage Porters",Average,7700
69%,53-7121.00,"Tank Car, Truck, and Ship Loaders",Decline slowly or moderately,3500
64%,53-6099.00,"Transportation Workers, All Other",Average,21500
53%,49-3011.00,Aircraft Mechanics and Service Technicians,Slower than average,31400
51%,53-3032.00,"Truck Drivers, Heavy and Tractor-Trailer",Average,554600
47%,53-7199.00,"Material Moving Workers, All Other",Little or no change,4700
43%,53-2022.00,Airfield Operations Specialists,Average,3800
43%,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Decline rapidly,1200
42%,53-2012.00,Commercial Pilots,Faster than average,20600
41%,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Decline slowly or moderately,40300
38%,53-3021.00,"Bus Drivers, Transit and Intercity",Average,49900
37%,53-6051.00,Transportation Inspectors,Faster than average,11300
,53-6051.01,Aviation Inspectors,,
,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",,
,53-6051.08,Freight and Cargo Inspectors,,
37%,53-5022.00,Motorboat Operators,Average,1800
34%,53-3041.00,Taxi Drivers and Chauffeurs,Faster than average,77300
34%,39-6011.00,Baggage Porters and Bellhops,Average,19500
33%,53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Decline slowly or moderately,37700
33%,11-3071.00,"Transportation, Storage, and Distribution Managers",Decline slowly or moderately,27400
,11-3071.01,Transportation Managers,,
,11-3071.02,Storage and Distribution Managers,,
33%,49-2091.00,Avionics Technicians,Average,5200
32%,53-3022.00,"Bus Drivers, School",Slower than average,107100
30%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Slower than average,3400
29%,53-1021.00,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",Slower than average,38500
,53-1021.01,Recycling Coordinators,,
28%,43-5021.00,Couriers and Messengers,Little or no change,28100
27%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Slower than average,75300
27%,51-8092.00,Gas Plant Operators,Decline slowly or moderately,3400
27%,33-3052.00,Transit and Railroad Police,Slower than average,1200
27%,53-7041.00,Hoist and Winch Operators,Decline slowly or moderately,800
26%,53-7011.00,Conveyor Operators and Tenders,Decline slowly or moderately,11900
24%,53-3033.00,"Truck Drivers, Light or Delivery Services",Slower than average,217500
22%,53-7051.00,Industrial Truck and Tractor Operators,Slower than average,198600
21%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Little or no change,745800
19%,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Average,6200
16%,49-9092.00,Commercial Divers,Slower than average,500
12%,53-3099.00,"Motor Vehicle Operators, All Other",Average,20600
12%,53-7072.00,"Pump Operators, Except Wellhead Pumpers",Decline rapidly,2800
11%,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Decline slowly or moderately,186200
11%,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Decline rapidly,10800
10%,53-7021.00,Crane and Tower Operators,Decline slowly or moderately,10200
