Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
89%,51-8011.00,Nuclear Power Reactor Operators,Faster than average,2700
78%,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Average,6700
74%,51-8012.00,Power Distributors and Dispatchers,Little or no change,3500
72%,51-8013.00,Power Plant Operators,Little or no change,12200
51%,19-4051.00,Nuclear Technicians,Average,2800
,19-4051.01,Nuclear Equipment Operation Technicians,,
,19-4051.02,Nuclear Monitoring Technicians,,
48%,49-9051.00,Electrical Power-Line Installers and Repairers,Slower than average,45500
44%,43-5041.00,"Meter Readers, Utilities",Decline rapidly,12500
42%,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Little or no change,6800
42%,17-2161.00,Nuclear Engineers,Average,5400
40%,51-8092.00,Gas Plant Operators,Decline slowly or moderately,3400
14%,51-8099.00,"Plant and System Operators, All Other",Decline slowly or moderately,2900
,51-8099.01,Biofuels Processing Technicians,,
,51-8099.02,Methane/Landfill Gas Generation System Technicians,,
,51-8099.03,Biomass Plant Technicians,,
,51-8099.04,Hydroelectric Plant Technicians,,
11%,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,Much faster than average,46900
