Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
75%,49-3041.00,Farm Equipment Mechanics,Average,8100
62%,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Average,457900
58%,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Average,142300
,41-4011.07,Solar Sales Representatives and Assessors,,
45%,13-1021.00,"Purchasing Agents and Buyers, Farm Products",Little or no change,3100
37%,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Little or no change,37000
35%,27-1022.00,Fashion Designers,Little or no change,7200
34%,41-9031.00,Sales Engineers,Average,35000
33%,53-7011.00,Conveyor Operators and Tenders,Decline slowly or moderately,11900
32%,43-4151.00,Order Clerks,Decline rapidly,69600
29%,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Decline slowly or moderately,26300
29%,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Slower than average,9400
27%,53-3031.00,Driver/Sales Workers,Slower than average,90400
27%,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",Average,37700
27%,45-2041.00,"Graders and Sorters, Agricultural Products",Little or no change,6900
26%,41-2022.00,Parts Salespersons,Little or no change,82600
25%,49-9062.00,Medical Equipment Repairers,Much faster than average,23200
25%,49-9061.00,Camera and Photographic Equipment Repairers,Decline rapidly,1300
22%,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Decline slowly or moderately,186200
20%,41-1012.00,First-Line Supervisors/Managers of Non-Retail Sales Workers,Slower than average,129500
20%,53-1021.00,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",Slower than average,38500
,53-1021.01,Recycling Coordinators,,
20%,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Decline rapidly,25100
19%,53-3033.00,"Truck Drivers, Light or Delivery Services",Slower than average,217500
19%,11-2022.00,Sales Managers,Faster than average,126600
19%,27-1026.00,Merchandise Displayers and Window Trimmers,Average,32200
18%,53-7051.00,Industrial Truck and Tractor Operators,Slower than average,198600
18%,11-3071.00,"Transportation, Storage, and Distribution Managers",Decline slowly or moderately,27400
,11-3071.01,Transportation Managers,,
,11-3071.02,Storage and Distribution Managers,,
17%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Little or no change,745800
16%,53-3099.00,"Motor Vehicle Operators, All Other",Average,20600
15%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Slower than average,75300
15%,53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Decline slowly or moderately,37700
15%,49-9064.00,Watch Repairers,Decline rapidly,900
13%,41-9011.00,Demonstrators and Product Promoters,Average,36900
13%,19-1013.00,Soil and Plant Scientists,Faster than average,7000
12%,53-3032.00,"Truck Drivers, Heavy and Tractor-Trailer",Average,554600
12%,11-3061.00,Purchasing Managers,Little or no change,21100
12%,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Slower than average,16400
12%,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Decline rapidly,1200
12%,49-2021.00,Radio Mechanics,Decline slowly or moderately,1000
11%,43-5081.00,Stock Clerks and Order Fillers,Average,562600
,43-5081.01,"Stock Clerks, Sales Floor",,
,43-5081.02,Marking Clerks,,
,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",,
,43-5081.04,"Order Fillers, Wholesale and Retail Sales",,
11%,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",Average,41800
,49-9099.01,Geothermal Technicians,,
,49-9099.02,Wind Turbine Service Technicians,,
11%,43-3061.00,Procurement Clerks,Slower than average,29700
11%,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Slower than average,19900
,43-4041.01,Credit Authorizers,,
,43-4041.02,Credit Checkers,,
11%,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Average,17700
11%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Little or no change,5000
11%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Slower than average,3400
11%,17-3024.00,Electro-Mechanical Technicians,Decline slowly or moderately,3100
,17-3024.01,Robotics Technicians,,
10%,53-7064.00,"Packers and Packagers, Hand",Decline slowly or moderately,126100
10%,49-9041.00,Industrial Machinery Mechanics,Average,62400
10%,41-9099.00,"Sales and Related Workers, All Other",Average,48600
10%,49-9043.00,"Maintenance Workers, Machinery",Slower than average,15100
10%,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Little or no change,6800
10%,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Little or no change,5300
10%,53-7072.00,"Pump Operators, Except Wellhead Pumpers",Decline rapidly,2800
10%,51-6051.00,"Sewers, Hand",Decline slowly or moderately,1300
10%,51-6092.00,Fabric and Apparel Patternmakers,Decline rapidly,900
